market,fold,test_year,regime,mdd_1N,vol_annualised,skewness,kurtosis,evt_xi,evt_sigma,evt_cvar99,evt_threshold,evt_n_excesses
DJIA,0,2013,benign,0.049008254845228354,0.10305761385566148,-0.35780289531758075,1.0423073068332256,-0.068918751208771,0.004577545724123515,0.020579206363187497,0.006427266648937101,31
DJIA,1,2014,benign,0.06625774347937981,0.1115105242950771,-0.3446982177642974,1.0492227685725704,-0.09664290767693506,0.0050040360345264935,0.022355228455996152,0.006901379495101142,38
DJIA,2,2015,moderate,0.12015424040327607,0.15770588222199677,-0.13879530843943658,1.818706674550592,-0.055851043697303315,0.007460572498020596,0.03310283129309086,0.0065691841641349535,50
DJIA,3,2016,benign,0.08441115279184952,0.12697232493696037,-0.40859359865717726,2.2529747932624513,-0.06039843872586248,0.006842159770966241,0.029033044926386177,0.007554353708710698,31
DJIA,4,2017,benign,0.02620601769107513,0.06245264091331699,-0.26179834584071165,2.4259313341829376,0.09425263898340352,0.002575562171036625,0.013946297499894207,0.0014434150882512915,48
DJIA,5,2018,moderate,0.17008074214327987,0.17323996322920357,-0.4843864804529276,3.2070514640997754,-0.21327673199902464,0.011585301941405383,0.03941362045087099,0.011469141045983169,30
DJIA,6,2019,benign,0.05975113617190582,0.1192114028010285,-0.6058748701392263,3.1009183358137777,0.01204511665962743,0.006435791137212622,0.02936568218319135,0.0033095097707332927,48
DJIA,7,2020,crisis,0.34516251295965233,0.3536018329407654,-0.6897197620590968,8.067079420431947,0.1563224465224599,0.016269147364368877,0.10137537675725333,0.00991003738681966,48
DJIA,8,2021,benign,0.06471746989037688,0.11887997281162742,-0.38786834853880364,0.7258553226937479,-0.10583802249396368,0.0059604219051026894,0.024200415637547594,0.005601571083566783,43
DJIA,9,2022,crisis,0.20146258793276892,0.20012648203126027,-0.1075598652519305,0.47358409499372556,-0.33381121969566907,0.011545546716855601,0.03636922509603107,0.012755484545348328,33
DJIA,10,2023,benign,0.08213587993207629,0.11278387013821749,-0.013428544069908665,0.25023605242946934,-0.22800212046675983,0.005184262871560962,0.01863992874645273,0.005262810191146216,50
DJIA,11,2024,benign,0.0519679453338474,0.10099655327017366,-0.2680504850453723,1.6747400205038296,-0.0017671741834573984,0.004360197918673119,0.02133994478576133,0.003931711051793714,51
SP50,0,2013,benign,0.04767768420075696,0.10235712201038183,-0.3108118041563895,1.100245543122651,-0.0830683394585271,0.004913775980096238,0.02039658583200822,0.004151845943767499,46
SP50,1,2014,benign,0.06613186909243958,0.11050160081790232,-0.32495066101877335,1.3687494675245047,-0.2857729581464097,0.006887445547651184,0.02152037142156387,0.006406617556960265,33
SP50,2,2015,moderate,0.11189584632227102,0.1538105977908326,-0.1257683503532485,2.243853908376934,-0.0360904234182472,0.007265424453597665,0.032899373661292385,0.006000814973330005,50
SP50,3,2016,benign,0.08282654233717762,0.1254010443299273,-0.40329212084216437,2.435802126766329,0.019925759568881596,0.0061401687555528075,0.02970685865898328,0.004023394175184013,51
SP50,4,2017,benign,0.023501461524396715,0.06443387428084021,-0.3657196319211741,2.2114524620235603,0.11046719985869746,0.002704201878431793,0.014647281452701291,0.002563427207084511,33
SP50,5,2018,moderate,0.1693144695082606,0.16937176399863946,-0.5228819816132578,3.0755801902017756,-0.257348995794464,0.013376058566442386,0.03873089849211398,0.0070275096211858705,40
SP50,6,2019,benign,0.060274868767575325,0.12230353981580135,-0.7139906167849256,3.3643545775806505,0.09906458315312061,0.005546646286532925,0.030951436909608564,0.0037259397576039108,48
SP50,7,2020,crisis,0.304824824260302,0.33386790672710365,-0.5334265208759422,8.142693706252272,0.10819085148717411,0.017591387867156624,0.09456679858759101,0.010616533830019552,41
SP50,8,2021,benign,0.04241691765686109,0.11597620012720618,-0.4123042191982906,1.0708748115589195,-0.09399077099475917,0.006047289963476468,0.024099934823856445,0.00500912974404395,41
SP50,9,2022,crisis,0.21107123748781237,0.21412362419826922,0.04039350477459929,0.4798983178318852,-0.11198360508091232,0.009048001548953697,0.04003943830933908,0.012532688732744953,40
SP50,10,2023,benign,0.09892525852204684,0.11499969925013379,-0.09749060881151034,-0.14521107919513554,-0.16081269994590974,0.0038718934129936345,0.018469347044851897,0.00796943268448511,35
SP50,11,2024,benign,0.06091085787372746,0.0973981662370345,-0.6063747592923977,2.3531821631430416,0.10972479713720185,0.003866223407316673,0.023077329882624342,0.004281561563995514,43
IBEX,0,2013,moderate,0.1201656379911969,0.1731328227497397,-0.3369605668806178,0.5966877848680645,-0.18960198255752436,0.009833233465307747,0.033642171834634874,0.006484046812136685,51
IBEX,1,2014,moderate,0.14992646886207966,0.17687320425423342,-0.2511497109413636,0.48448781723448064,-0.11929569949360752,0.007670700854616571,0.03347417400448488,0.010418751030660903,41
IBEX,2,2015,crisis,0.211241875742589,0.19630560924951276,-0.27467424507819843,1.077626415773615,-0.014566396539823057,0.008113546554328084,0.041101103759050434,0.0096621862688264,51
IBEX,3,2016,moderate,0.17074745614128284,0.2223106011201815,-1.83214936620537,12.322673384846937,0.2821579355907614,0.0069295910101077485,0.06427669235580452,0.008994467162364869,52
IBEX,4,2017,benign,0.07086075964135394,0.11743292064899409,0.23610813943265005,2.2876213721140877,0.1160484071783443,0.0034311203452166337,0.02281923518730046,0.005251498016953355,49
IBEX,5,2018,moderate,0.16623495875201094,0.13806952231616174,-0.42239498879030285,0.6761293115032223,-0.41342804571827996,0.009717700075494676,0.026520369052621305,0.008572189963534682,36
IBEX,6,2019,moderate,0.11418825502524574,0.12392176522890702,-0.279636332871433,0.4503044328763117,-0.41581541880821593,0.0077099235026997105,0.021196806962157276,0.007017864091350586,36
IBEX,7,2020,crisis,0.40004401929815303,0.3447519052135629,-1.7077585986213835,13.335937293919386,0.2839436589478281,0.011736817298939236,0.102851848737844,0.013092703522709527,46
IBEX,8,2021,benign,0.08969868798548786,0.15417371927479714,-0.4197198972872701,1.134651553571186,-0.009210658204620525,0.006681709159109429,0.03257994440030111,0.00667934511193295,49
IBEX,9,2022,crisis,0.22527193207617116,0.19190763005721975,-0.13235336783028157,0.8544746350398964,-0.06130635025697673,0.007915734609600112,0.03768838050036049,0.009770100465940276,52
IBEX,10,2023,benign,0.08583888580121128,0.1336459778721599,-0.7082715600543723,3.157547520409711,0.04627103448928277,0.006545611497049914,0.032723251155463165,0.005518623760355051,41
IBEX,11,2024,benign,0.09223749633226042,0.12536448487095855,-0.5646646761173835,0.7289192549388757,-0.01584829176331226,0.004886565433951428,0.02598021642244817,0.009407017081306096,31
